Source,Src Port,Dest Port,Destination
192.168.229.254,443,46117,192.168.202.79
192.168.202.79,46117,443,192.168.229.254
192.168.202.79,50463,80,192.168.229.251
192.168.229.254,443,46117,192.168.202.79
192.168.202.79,50465,80,192.168.229.251
192.168.202.79,55173,445,192.168.229.153
192.168.229.251,80,50463,192.168.202.79
192.168.229.254,443,46117,192.168.202.79
192.168.229.251,80,50465,192.168.202.79
192.168.229.254,443,46117,192.168.202.79
192.168.229.254,443,46117,192.168.202.79
192.168.229.254,443,46117,192.168.202.79
192.168.229.254,443,46117,192.168.202.79
192.168.229.254,443,46117,192.168.202.79
192.168.229.153,445,55173,192.168.202.79
192.168.202.79,50465,80,192.168.229.251
192.168.202.79,50465,80,192.168.229.251
192.168.202.79,55173,445,192.168.229.153
192.168.229.153,445,55173,192.168.202.79
192.168.229.251,80,50465,192.168.202.79
192.168.202.79,46117,443,192.168.229.254
192.168.202.79,46117,443,192.168.229.254
192.168.229.254,443,46117,192.168.202.79
192.168.202.79,46119,443,192.168.229.254
192.168.229.254,443,46119,192.168.202.79
192.168.202.79,46119,443,192.168.229.254
192.168.202.79,46119,443,192.168.229.254
192.168.229.254,443,46119,192.168.202.79
192.168.229.254,443,46119,192.168.202.79
192.168.202.79,46119,443,192.168.229.254
192.168.202.79,46119,443,192.168.229.254
192.168.229.254,443,46119,192.168.202.79
192.168.229.254,443,46119,192.168.202.79
192.168.202.79,46119,443,192.168.229.254
192.168.202.79,55173,445,192.168.229.153
192.168.229.254,443,46119,192.168.202.79
192.168.202.79,50465,80,192.168.229.251
192.168.202.79,50467,80,192.168.229.251
192.168.229.254,443,46119,192.168.202.79
192.168.229.251,80,50465,192.168.202.79
192.168.229.251,80,50467,192.168.202.79
192.168.229.153,445,55173,192.168.202.79
192.168.229.254,443,46119,192.168.202.79
192.168.229.254,443,46119,192.168.202.79
192.168.229.254,443,46119,192.168.202.79
192.168.229.254,443,46119,192.168.202.79
192.168.229.254,443,46119,192.168.202.79
192.168.202.79,50467,80,192.168.229.251
192.168.215.1,,,224.0.0.10
192.168.202.79,50467,80,192.168.229.251
192.168.202.79,55173,445,192.168.229.153
192.168.229.251,80,50467,192.168.202.79
192.168.229.153,445,55173,192.168.202.79
192.168.202.79,55173,445,192.168.229.153
192.168.202.79,46119,443,192.168.229.254
192.168.202.79,46119,443,192.168.229.254
192.168.229.254,443,46119,192.168.202.79
